age,monthly_income,employment_type,credit_score,existing_credit_cards,avg_monthly_spend,repayment_ratio,missed_payments_last_6m,loan_accounts,location_tier,spend_to_income_ratio,missed_payment_flag,credit_category,income_category,age_bucket,recommended_credit_limit
44,83310.0,Self-Employed,677.0,2,57973.0,0.67,0,2,Tier 2,0.695870844,1,Good,High,Adult,104554
22,15000.0,Salaried,737.0,1,9328.0,0.74,0,0,Tier 1,0.621866667,1,Good,Low,Young,19529
31,69782.0,Self-Employed,629.0,3,21429.0,0.68,0,2,Tier 1,0.307084922,1,Fair,Medium,Adult,88009
44,30478.0,Salaried,651.0,1,14423.0,0.92,0,0,Tier 1,0.47322659,0,Fair,Low,Adult,43982
34,22456.0,Self-Employed,687.0,0,14133.0,0.77,0,0,Tier 3,0.62936409,1,Good,Low,Adult,29730
32,115630.0,Self-Employed,765.0,3,31743.0,0.94,1,0,Tier 1,0.274522183,0,Excellent,High,Adult,266432
30,15000.0,Salaried,892.0,1,5308.0,1.0,0,2,Tier 3,0.353866667,0,Excellent,Low,Adult,37500
32,36131.0,Salaried,737.0,2,19661.0,0.8,1,1,Tier 3,0.544158756,1,Good,Low,Adult,46093
40,55837.0,Salaried,715.0,3,20870.0,0.74,0,0,Tier 2,0.373766499,1,Good,Medium,Adult,73031
22,62741.0,Salaried,735.0,2,21528.0,0.83,1,1,Tier 3,0.34312491,1,Good,Medium,Young,81260
32,119897.0,Self-Employed,772.0,1,38727.0,0.84,1,2,Tier 3,0.323002244,1,Excellent,High,Adult,260625
45,66206.0,Salaried,720.0,2,19832.0,0.94,0,1,Tier 1,0.29954989,0,Good,Medium,Adult,96189
24,23297.0,Self-Employed,634.0,2,11240.0,0.73,1,0,Tier 1,0.482465554,1,Fair,Low,Young,28487
26,34703.0,Salaried,744.0,1,23487.0,0.72,0,1,Tier 1,0.676800277,1,Excellent,Low,Young,44835
48,77271.0,Salaried,744.0,3,53346.0,0.89,0,1,Tier 1,0.690375432,1,Excellent,Medium,Adult,109406
26,37750.0,Self-Employed,719.0,0,23365.0,0.8,2,1,Tier 1,0.618940397,1,Good,Low,Young,45367
35,66631.0,Salaried,736.0,1,46281.0,0.81,1,1,Tier 1,0.694586604,1,Good,Medium,Adult,85357
38,74135.0,Self-Employed,641.0,0,31449.0,0.59,2,2,Tier 1,0.424212585,1,Fair,Medium,Adult,77185
27,72710.0,Salaried,686.0,0,20962.0,0.8,1,1,Tier 2,0.28829597,1,Good,Medium,Young,92712
24,104079.0,Self-Employed,797.0,3,54694.0,0.89,1,2,Tier 1,0.525504665,1,Excellent,High,Young,232322
22,87080.0,Self-Employed,550.0,0,23675.0,0.57,2,2,Tier 2,0.271876435,1,Poor,High,Young,89477
21,86437.0,Self-Employed,706.0,0,23194.0,0.7,2,0,Tier 2,0.268334162,1,Good,High,Young,97372
32,15000.0,Self-Employed,637.0,3,3701.0,0.57,0,0,Tier 2,0.246733333,1,Fair,Low,Adult,17685
54,63291.0,Self-Employed,813.0,0,44002.0,0.88,0,0,Tier 3,0.69523313,1,Excellent,Medium,Senior,148913
36,46200.0,Salaried,722.0,2,30068.0,0.91,1,1,Tier 1,0.650822511,0,Good,Medium,Adult,62731
38,40369.0,Self-Employed,504.5,2,27786.0,0.43,0,1,Tier 3,0.688300429,1,Poor,Medium,Adult,43203
39,68751.0,Self-Employed,846.0,0,46938.0,0.74,0,4,Tier 3,0.682724615,1,Excellent,Medium,Adult,149855
24,68653.0,Self-Employed,598.0,2,23742.0,0.72,0,1,Tier 3,0.345826111,1,Fair,Medium,Young,88725
34,37126.0,Self-Employed,639.0,2,13141.0,0.67,0,2,Tier 1,0.353956796,1,Fair,Low,Adult,46632
40,50496.0,Salaried,718.0,2,14926.0,0.68,0,1,Tier 1,0.295587769,1,Good,Medium,Adult,63629
35,73259.0,Salaried,789.0,3,23546.0,1.0,0,0,Tier 1,0.321407609,0,Excellent,Medium,Adult,183148
35,52207.0,Salaried,660.0,1,13043.0,0.58,1,3,Tier 1,0.249832398,1,Fair,Medium,Adult,57918
37,82689.0,Salaried,767.0,1,30226.0,0.97,0,2,Tier 1,0.365538342,0,Excellent,High,Adult,203649
51,56640.0,Salaried,763.0,3,27651.0,0.83,0,5,Tier 1,0.488188559,1,Excellent,Medium,Senior,129577
21,33291.0,Self-Employed,643.0,0,9370.0,0.67,1,2,Tier 2,0.281457451,1,Fair,Low,Young,39261
42,54084.0,Salaried,696.0,2,33640.0,0.78,3,3,Tier 3,0.621995415,1,Good,Medium,Adult,60155
39,71710.0,Self-Employed,741.0,2,35225.0,0.9,0,0,Tier 2,0.491214614,0,Excellent,Medium,Adult,102075
36,17315.0,Salaried,709.0,3,4879.0,0.82,0,0,Tier 1,0.281778805,1,Good,Low,Adult,23682
25,44845.0,Salaried,780.0,2,11772.0,0.86,0,5,Tier 2,0.262504181,1,Excellent,Medium,Young,104314
32,42714.0,Salaried,882.0,2,15949.0,0.99,0,2,Tier 3,0.373390457,0,Excellent,Medium,Adult,106055
27,15000.0,Self-Employed,684.0,2,3061.0,0.55,2,1,Tier 1,0.204066667,1,Good,Low,Young,15238
33,69171.0,Self-Employed,664.0,0,20375.0,0.81,1,1,Tier 2,0.294559859,1,Fair,Medium,Adult,88739
38,81073.0,Self-Employed,686.0,0,37814.0,0.72,1,1,Tier 1,0.466419153,1,Good,High,Adult,98548
32,83215.0,Self-Employed,707.0,0,19628.0,1.0,0,2,Tier 1,0.235870937,0,Good,High,Adult,124822
