iter	RMSE
0	50584.76621
1	46261.22237
2	42418.30345
3	39161.37366
4	36136.55998
5	33418.31965
6	31166.79718
7	28971.46823
8	26973.04902
9	25191.64759
10	23717.38039
11	22170.63507
12	20862.53569
13	19745.63489
14	18649.55897
15	17617.43865
16	16706.66473
17	15830.57335
18	15126.7402
19	14388.68834
20	13725.23928
21	13077.55736
22	12597.31807
23	12123.24863
24	11697.47041
25	11300.71345
26	10905.97004
27	10503.0936
28	10161.48239
29	9795.460706
30	9492.770697
31	9180.436527
32	8897.300474
33	8634.45675
34	8433.247072
35	8215.476075
36	7997.415524
37	7808.971648
38	7644.838925
39	7515.542257
40	7379.894421
41	7230.396962
42	7095.283167
43	6969.279685
44	6864.268264
45	6744.553131
46	6625.608555
47	6535.117434
48	6444.757782
49	6356.364264
50	6270.398496
51	6180.102347
52	6114.025739
53	6049.6434
54	6002.807269
55	5940.351349
56	5892.612017
57	5845.37137
58	5797.404842
59	5764.732799
60	5714.902543
61	5674.906596
62	5640.966284
63	5606.526214
64	5571.492749
65	5529.933932
66	5503.935229
67	5473.164615
68	5425.460352
69	5399.029138
70	5370.339324
71	5343.002394
72	5269.564723
73	5241.929916
74	5188.85618
75	5159.458155
76	5145.648117
77	5104.670972
78	5079.920485
79	5061.983117
80	5026.141793
81	5004.402267
82	4985.832388
83	4954.85716
84	4890.113577
85	4875.064736
86	4838.344228
87	4811.559717
88	4781.958704
89	4758.164512
90	4703.68463
91	4671.279597
92	4659.499308
93	4628.232531
94	4596.54715
95	4550.065376
96	4534.750305
97	4503.303243
98	4479.278823
99	4453.447277
