iter	Passed	Remaining
0	1	114
1	2	107
2	3	103
3	4	101
4	5	101
5	6	101
6	7	101
7	8	99
8	9	98
9	10	97
10	11	96
11	13	95
12	14	95
13	15	95
14	16	95
15	18	94
16	19	94
17	20	93
18	21	91
19	22	90
20	23	89
21	24	88
22	26	88
23	27	86
24	28	85
25	29	84
26	30	83
27	31	82
28	33	81
29	34	79
30	35	78
31	36	77
32	37	76
33	38	75
34	39	73
35	40	72
36	42	71
37	43	70
38	45	70
39	46	69
40	47	68
41	48	67
42	49	65
43	50	64
44	51	63
45	52	62
46	54	61
47	55	59
48	56	58
49	57	57
50	58	56
51	59	55
52	61	54
53	62	53
54	63	52
55	64	50
56	65	49
57	66	48
58	68	47
59	69	46
60	70	45
61	71	43
62	72	42
63	73	41
64	74	40
65	76	39
66	77	38
67	78	36
68	79	35
69	80	34
70	81	33
71	82	32
72	83	31
73	85	29
74	86	28
75	87	27
76	88	26
77	89	25
78	90	24
79	91	22
80	92	21
81	94	20
82	95	19
83	96	18
84	97	17
85	98	16
86	99	14
87	101	13
88	102	12
89	103	11
90	104	10
91	105	9
92	106	8
93	108	6
94	109	5
95	110	4
96	111	3
97	112	2
98	113	1
99	114	0
