customer_id,age,monthly_income,employment_type,credit_score,existing_credit_cards,avg_monthly_spend,repayment_ratio,missed_payments_last_6m,loan_accounts,location_tier,recommended_credit_limit
CUST00001,37,59934,Salaried,708,3,33923,0.68,0,0,Tier 3,75313
CUST00002,33,43443,Self-Employed,687,0,22827,0.77,1,3,Tier 1,54455
CUST00003,23,94493,Self-Employed,598,2,25489,0.57,1,0,Tier 2,104437
CUST00004,50,69266,Self-Employed,748,1,43636,0.78,0,2,Tier 3,92397
CUST00005,26,55821,Salaried,669,1,23449,0.74,0,2,Tier 1,72929
CUST00006,26,22441,Salaried,691,2,10858,0.55,2,4,Tier 3,22720
CUST00007,36,40787,Salaried,804,3,13887,0.78,1,2,Tier 1,85667
CUST00008,39,97918,Self-Employed,774,2,49251,0.88,2,0,Tier 2,205768
CUST00009,37,36810,Self-Employed,624,0,20790,0.78,1,4,Tier 2,46292
CUST00010,34,37702,Salaried,746,2,15823,0.84,1,1,Tier 2,49313
CUST00011,31,114337,Self-Employed,678,1,35947,0.73,0,5,Tier 2,148533
CUST00012,32,59678,Self-Employed,780,0,15578,0.94,0,1,Tier 3,144649
CUST00013,28,15000,Salaried,747,0,4666,0.8,1,2,Tier 3,19076
CUST00014,38,44619,Self-Employed,654,3,24458,0.65,1,2,Tier 3,51898
CUST00015,34,46153,Salaried,744,2,12574,0.86,0,2,Tier 2,64405
CUST00016,31,47254,Salaried,832,3,32686,1.0,1,3,Tier 2,112228
CUST00017,38,50183,Salaried,690,3,15720,0.66,1,1,Tier 2,58730
CUST00018,40,33248,Salaried,774,0,15651,0.76,0,2,Tier 3,73031
CUST00019,28,55198,Salaried,782,3,20396,1.0,2,1,Tier 1,124113
CUST00020,33,63061,Salaried,808,2,30922,0.95,1,1,Tier 1,146180
CUST00021,25,26174,Salaried,772,2,14555,0.78,3,1,Tier 2,48508
CUST00022,38,30443,Self-Employed,777,0,15067,0.86,1,2,Tier 1,67057
CUST00023,33,62513,Salaried,651,3,21279,0.73,0,4,Tier 1,80995
CUST00024,30,88184,Self-Employed,564,1,42870,0.53,0,1,Tier 1,101304
CUST00025,28,75195,Self-Employed,750,3,36472,0.86,1,4,Tier 2,99056
CUST00026,23,15943,Self-Employed,757,3,6535,0.91,0,0,Tier 2,38000
CUST00027,36,87127,Self-Employed,810,2,48005,0.92,0,1,Tier 3,209455
CUST00028,39,25997,Salaried,816,0,7215,0.87,0,1,Tier 2,60619
CUST00029,36,81208,Salaried,730,3,25005,0.74,0,2,Tier 1,105858
CUST00030,30,23842,Salaried,560,1,13638,0.55,0,2,Tier 3,27697
CUST00031,45,40501,Salaried,667,3,19222,0.84,0,4,Tier 3,55759
CUST00032,32,34493,Self-Employed,738,3,8971,0.75,0,2,Tier 3,45323
CUST00033,25,49611,Salaried,645,2,21667,0.69,1,1,Tier 3,59213
CUST00034,36,113741,Salaried,726,0,61645,0.86,2,3,Tier 2,141900
CUST00035,30,90605,Self-Employed,725,1,35613,0.83,0,2,Tier 1,124604
CUST00036,33,49432,Salaried,582,0,27012,0.7,0,2,Tier 1,63010
