age,monthly_income,employment_type,credit_score,existing_credit_cards,avg_monthly_spend,repayment_ratio,missed_payments_last_6m,loan_accounts,location_tier,spend_to_income_ratio,missed_payment_flag,credit_category,income_category,age_bucket,recommended_credit_limit
37,59934,Salaried,708,3,33923,0.68,0,0,Tier 3,0.56600594,1,Good,Medium,Adult,75313
33,43443,Self-Employed,687,0,22827,0.77,1,3,Tier 1,0.525447138,1,Good,Medium,Adult,54455
23,94493,Self-Employed,598,2,25489,0.57,1,0,Tier 2,0.269744849,1,Fair,High,Young,104437
50,69266,Self-Employed,748,1,43636,0.78,0,2,Tier 3,0.629977189,1,Excellent,Medium,Senior,92397
26,55821,Salaried,669,1,23449,0.74,0,2,Tier 1,0.420074882,1,Fair,Medium,Young,72929
26,22441,Salaried,691,2,10858,0.55,2,4,Tier 3,0.483846531,1,Good,Low,Young,22720
36,40787,Salaried,804,3,13887,0.78,1,2,Tier 1,0.340476132,1,Excellent,Medium,Adult,85667
39,97918,Self-Employed,774,2,49251,0.88,2,0,Tier 2,0.502982087,1,Excellent,High,Adult,205768
37,36810,Self-Employed,624,0,20790,0.78,1,4,Tier 2,0.564792176,1,Fair,Low,Adult,46292
34,37702,Salaried,746,2,15823,0.84,1,1,Tier 2,0.419685958,1,Excellent,Low,Adult,49313
31,114337,Self-Employed,678,1,35947,0.73,0,5,Tier 2,0.314395165,1,Good,High,Adult,148533
32,59678,Self-Employed,780,0,15578,0.94,0,1,Tier 3,0.261034217,0,Excellent,Medium,Adult,144649
28,15000,Salaried,747,0,4666,0.8,1,2,Tier 3,0.311066667,1,Excellent,Low,Young,19076
38,44619,Self-Employed,654,3,24458,0.65,1,2,Tier 3,0.548152132,1,Fair,Medium,Adult,51898
34,46153,Salaried,744,2,12574,0.86,0,2,Tier 2,0.272441661,1,Excellent,Medium,Adult,64405
31,47254,Salaried,832,3,32686,1,1,3,Tier 2,0.691708638,0,Excellent,Medium,Adult,112228
38,50183,Salaried,690,3,15720,0.66,1,1,Tier 2,0.313253492,1,Good,Medium,Adult,58730
40,33248,Salaried,774,0,15651,0.76,0,2,Tier 3,0.470735082,1,Excellent,Low,Adult,73031
28,55198,Salaried,782,3,20396,1,2,1,Tier 1,0.369506142,0,Excellent,Medium,Young,124113
33,63061,Salaried,808,2,30922,0.95,1,1,Tier 1,0.490350613,0,Excellent,Medium,Adult,146180
25,26174,Salaried,772,2,14555,0.78,3,1,Tier 2,0.556086192,1,Excellent,Low,Young,48508
38,30443,Self-Employed,777,0,15067,0.86,1,2,Tier 1,0.494924942,1,Excellent,Low,Adult,67057
33,62513,Salaried,651,3,21279,0.73,0,4,Tier 1,0.340393198,1,Fair,Medium,Adult,80995
30,88184,Self-Employed,564,1,42870,0.53,0,1,Tier 1,0.486142611,1,Poor,High,Adult,101304
28,75195,Self-Employed,750,3,36472,0.86,1,4,Tier 2,0.485032249,1,Excellent,Medium,Young,99056
23,15943,Self-Employed,757,3,6535,0.91,0,0,Tier 2,0.409897761,0,Excellent,Low,Young,38000
36,87127,Self-Employed,810,2,48005,0.92,0,1,Tier 3,0.550977309,0,Excellent,High,Adult,209455
39,25997,Salaried,816,0,7215,0.87,0,1,Tier 2,0.277532023,1,Excellent,Low,Adult,60619
36,81208,Salaried,730,3,25005,0.74,0,2,Tier 1,0.307913013,1,Good,High,Adult,105858
30,23842,Salaried,560,1,13638,0.55,0,2,Tier 3,0.57201577,1,Poor,Low,Adult,27697
45,40501,Salaried,667,3,19222,0.84,0,4,Tier 3,0.474605565,1,Fair,Medium,Adult,55759
32,34493,Self-Employed,738,3,8971,0.75,0,2,Tier 3,0.260081756,1,Good,Low,Adult,45323
25,49611,Salaried,645,2,21667,0.69,1,1,Tier 3,0.43673782,1,Fair,Medium,Young,59213
36,113741,Salaried,726,0,61645,0.86,2,3,Tier 2,0.541976948,1,Good,High,Adult,141900
30,90605,Self-Employed,725,1,35613,0.83,0,2,Tier 1,0.393057778,1,Good,High,Adult,124604
33,49432,Salaried,582,0,27012,0.7,0,2,Tier 1,0.546447645,1,Fair,Medium,Adult,63010
25,64946,Salaried,768,0,45154,0.67,1,4,Tier 1,0.695254519,1,Excellent,Medium,Young,127826
28,88986,Self-Employed,539,0,39891,0.44,0,0,Tier 3,0.448284,1,Poor,High,Young,96397
