age,monthly_income,employment_type,credit_score,existing_credit_cards,avg_monthly_spend,repayment_ratio,missed_payments_last_6m,loan_accounts,location_tier,recommended_credit_limit,spend_to_income_ratio,missed_payment_flag,credit_category,income_category,age_bucket
37,59934.0,Salaried,708.0,3,33923.0,0.68,0,0,Tier 3,75313,0.5660059398671873,1,Good,Medium,Adult
33,43443.0,Self-Employed,687.0,0,22827.0,0.77,1,3,Tier 1,54455,0.5254471376286168,1,Good,Medium,Adult
23,94493.0,Self-Employed,598.0,2,25489.0,0.57,1,0,Tier 2,104437,0.26974484882478067,1,Fair,High,Young
50,69266.0,Self-Employed,748.0,1,43636.0,0.78,0,2,Tier 3,92397,0.6299771893858459,1,Excellent,Medium,Senior
26,55821.0,Salaried,669.0,1,23449.0,0.74,0,2,Tier 1,72929,0.4200748822127873,1,Fair,Medium,Young
26,22441.0,Salaried,691.0,2,10858.0,0.55,2,4,Tier 3,22720,0.4838465309032574,1,Good,Low,Young
36,40787.0,Salaried,804.0,3,13887.0,0.78,1,2,Tier 1,85667,0.3404761321009145,1,Excellent,Medium,Adult
39,97918.0,Self-Employed,774.0,2,49251.0,0.88,2,0,Tier 2,205768,0.5029820870524316,1,Excellent,High,Adult
37,36810.0,Self-Employed,624.0,0,20790.0,0.78,1,4,Tier 2,46292,0.5647921760391198,1,Fair,Low,Adult
34,37702.0,Salaried,746.0,2,15823.0,0.84,1,1,Tier 2,49313,0.4196859583045992,1,Excellent,Low,Adult
31,114337.0,Self-Employed,678.0,1,35947.0,0.73,0,5,Tier 2,148533,0.3143951651696301,1,Good,High,Adult
32,59678.0,Self-Employed,780.0,0,15578.0,0.94,0,1,Tier 3,144649,0.2610342169643755,0,Excellent,Medium,Adult
28,15000.0,Salaried,747.0,0,4666.0,0.8,1,2,Tier 3,19076,0.31106666666666666,1,Excellent,Low,Young
38,44619.0,Self-Employed,654.0,3,24458.0,0.65,1,2,Tier 3,51898,0.5481521324996078,1,Fair,Medium,Adult
34,46153.0,Salaried,744.0,2,12574.0,0.86,0,2,Tier 2,64405,0.27244166143045956,1,Excellent,Medium,Adult
31,47254.0,Salaried,832.0,3,32686.0,1.0,1,3,Tier 2,112228,0.6917086384221441,0,Excellent,Medium,Adult
38,50183.0,Salaried,690.0,3,15720.0,0.66,1,1,Tier 2,58730,0.31325349221848037,1,Good,Medium,Adult
40,33248.0,Salaried,774.0,0,15651.0,0.76,0,2,Tier 3,73031,0.47073508180943213,1,Excellent,Low,Adult
28,55198.0,Salaried,782.0,3,20396.0,1.0,2,1,Tier 1,124113,0.3695061415268669,0,Excellent,Medium,Young
33,63061.0,Salaried,808.0,2,30922.0,0.95,1,1,Tier 1,146180,0.490350612898622,0,Excellent,Medium,Adult
25,26174.0,Salaried,772.0,2,14555.0,0.78,3,1,Tier 2,48508,0.5560861924046764,1,Excellent,Low,Young
38,30443.0,Self-Employed,777.0,0,15067.0,0.86,1,2,Tier 1,67057,0.49492494169431395,1,Excellent,Low,Adult
33,62513.0,Salaried,651.0,3,21279.0,0.73,0,4,Tier 1,80995,0.3403931982147713,1,Fair,Medium,Adult
30,88184.0,Self-Employed,564.0,1,42870.0,0.53,0,1,Tier 1,101304,0.48614261090447247,1,Poor,High,Adult
28,75195.0,Self-Employed,750.0,3,36472.0,0.86,1,4,Tier 2,99056,0.48503224948467316,1,Excellent,Medium,Young
23,15943.0,Self-Employed,757.0,3,6535.0,0.91,0,0,Tier 2,38000,0.4098977607727529,0,Excellent,Low,Young
36,87127.0,Self-Employed,810.0,2,48005.0,0.92,0,1,Tier 3,209455,0.5509773089857335,0,Excellent,High,Adult
39,25997.0,Salaried,816.0,0,7215.0,0.87,0,1,Tier 2,60619,0.2775320229257222,1,Excellent,Low,Adult
36,81208.0,Salaried,730.0,3,25005.0,0.74,0,2,Tier 1,105858,0.30791301349620726,1,Good,High,Adult
30,23842.0,Salaried,560.0,1,13638.0,0.55,0,2,Tier 3,27697,0.5720157704890529,1,Poor,Low,Adult
45,40501.0,Salaried,667.0,3,19222.0,0.84,0,4,Tier 3,55759,0.47460556529468406,1,Fair,Medium,Adult
32,34493.0,Self-Employed,738.0,3,8971.0,0.75,0,2,Tier 3,45323,0.2600817557185516,1,Good,Low,Adult
25,49611.0,Salaried,645.0,2,21667.0,0.69,1,1,Tier 3,59213,0.4367378202414787,1,Fair,Medium,Young
